City/Town,Ward,Precinct,Democratic,Republican, Libertarian ,Green-Rainbow,All Others,No Preference,Blanks,Total Votes Cast
Boston,16,12,524.00,497.00,8.00,4.00,8.00,0.00,4.00,1045.00
Boston,17,1,679.00,56.00,3.00,2.00,1.00,0.00,0.00,741.00
Boston,17,2,530.00,65.00,2.00,6.00,0.00,0.00,3.00,606.00
Boston,17,3,1172.00,91.00,7.00,4.00,11.00,0.00,7.00,1292.00
Boston,17,4,1317.00,183.00,11.00,5.00,8.00,0.00,10.00,1534.00
Boston,17,5,552.00,31.00,1.00,4.00,0.00,0.00,2.00,590.00
Boston,17,6,864.00,74.00,6.00,2.00,3.00,0.00,1.00,950.00
Boston,17,7,467.00,27.00, -   ,0.00,4.00,0.00,1.00,499.00
Boston,17,8,773.00,53.00,5.00,5.00,1.00,0.00,3.00,840.00
Boston,17,9,657.00,49.00,6.00,4.00,4.00,0.00,4.00,724.00
Boston,17,10,1002.00,63.00,2.00,5.00,2.00,0.00,5.00,1079.00
Boston,17,11,416.00,22.00,4.00,5.00,1.00,0.00,3.00,451.00
Boston,17,12,676.00,54.00,2.00,2.00,1.00,0.00,4.00,739.00
Boston,17,13,826.00,187.00,13.00,3.00,5.00,0.00,7.00,1041.00
Boston,17,14,853.00,127.00,10.00,4.00,4.00,0.00,2.00,1000.00
Boston,18,1,1305.00,81.00,2.00,6.00,3.00,0.00,2.00,1399.00
Boston,18,2,984.00,37.00,1.00,7.00,2.00,0.00,4.00,1035.00
Boston,18,3,1119.00,35.00, -   ,2.00,2.00,0.00,7.00,1165.00
Boston,18,4,1161.00,67.00,5.00,2.00,1.00,0.00,3.00,1239.00
Boston,18,5,1203.00,57.00,5.00,5.00,2.00,0.00,5.00,1277.00
Boston,18,6,1437.00,54.00,5.00,5.00,3.00,0.00,7.00,1511.00
Boston,18,7,1029.00,136.00,7.00,2.00,3.00,0.00,3.00,1180.00
Boston,18,8,1746.00,197.00,8.00,4.00,2.00,0.00,8.00,1965.00
Boston,18,9,963.00,191.00,6.00,7.00,7.00,0.00,4.00,1178.00
Boston,18,10,1517.00,244.00,5.00,9.00,14.00,0.00,14.00,1803.00
Boston,18,11,865.00,108.00,8.00,0.00,10.00,0.00,12.00,1003.00
Boston,18,12,987.00,194.00,6.00,6.00,3.00,0.00,1.00,1197.00
Boston,18,13,621.00,86.00,1.00,2.00,2.00,0.00,3.00,715.00
Boston,18,14,671.00,83.00,9.00,5.00,3.00,0.00,2.00,773.00
Boston,18,15,1068.00,84.00,4.00,2.00,2.00,0.00,4.00,1164.00
Boston,18,16,982.00,334.00,10.00,8.00,6.00,0.00,9.00,1349.00
Boston,18,17,983.00,200.00,10.00,5.00,5.00,0.00,8.00,1211.00
Boston,18,18,1233.00,242.00,8.00,5.00,8.00,0.00,6.00,1502.00
Boston,18,19,1671.00,301.00,8.00,8.00,10.00,0.00,15.00,2013.00
Boston,18,20,1158.00,437.00,19.00,8.00,6.00,0.00,8.00,1636.00
Boston,18,21,1311.00,59.00,4.00,6.00,5.00,0.00,5.00,1390.00
Boston,18,22,1031.00,330.00,12.00,9.00,8.00,0.00,9.00,1399.00
Boston,18,23,885.00,112.00,4.00,3.00,4.00,0.00,7.00,1015.00
Boston,19,1,1036.00,40.00,12.00,10.00,4.00,0.00,0.00,1102.00
Boston,19,2,1095.00,216.00,10.00,4.00,17.00,0.00,13.00,1355.00
Boston,19,3,895.00,56.00,7.00,3.00,6.00,0.00,1.00,968.00
Boston,19,4,1262.00,29.00,6.00,12.00,6.00,0.00,5.00,1320.00
Boston,19,5,1007.00,76.00,6.00,8.00,3.00,0.00,4.00,1104.00
Boston,19,6,1446.00,54.00,4.00,9.00,5.00,0.00,5.00,1523.00
Boston,19,7,1375.00,94.00,11.00,13.00,6.00,0.00,6.00,1505.00
Boston,19,8,692.00,36.00,6.00,2.00,7.00,0.00,2.00,745.00
Boston,19,9,674.00,43.00,5.00,6.00,5.00,0.00,1.00,734.00
Boston,19,10,1214.00,161.00,5.00,3.00,4.00,0.00,8.00,1395.00
Boston,19,11,1033.00,112.00,9.00,5.00,2.00,0.00,7.00,1168.00
Boston,19,12,864.00,110.00,2.00,4.00,1.00,0.00,4.00,985.00
Boston,19,13,732.00,105.00,4.00,6.00,5.00,0.00,2.00,854.00
Boston,20,1,1011.00,235.00,12.00,4.00,9.00,0.00,9.00,1280.00
Boston,20,2,1113.00,208.00,8.00,9.00,5.00,0.00,4.00,1347.00
Boston,20,3,926.00,382.00,13.00,13.00,5.00,0.00,2.00,1341.00
Boston,20,4,991.00,116.00,4.00,9.00,3.00,0.00,2.00,1125.00
Boston,20,5,927.00,401.00,8.00,3.00,5.00,0.00,11.00,1355.00
Boston,20,6,1056.00,342.00,20.00,10.00,9.00,0.00,12.00,1449.00
Boston,20,7,678.00,185.00,14.00,7.00,6.00,0.00,4.00,894.00
Boston,20,8,801.00,187.00,9.00,6.00,3.00,0.00,0.00,1006.00
Boston,20,9,865.00,227.00,3.00,9.00,5.00,0.00,6.00,1115.00
Boston,20,10,1118.00,487.00,18.00,5.00,11.00,0.00,12.00,1651.00
Boston,20,11,560.00,173.00,5.00,7.00,4.00,0.00,1.00,750.00
Boston,20,12,668.00,250.00,12.00,3.00,11.00,0.00,3.00,947.00
Boston,20,13,581.00,260.00,8.00,1.00,4.00,0.00,3.00,857.00
Boston,20,14,593.00,233.00,15.00,5.00,7.00,0.00,8.00,861.00
Boston,20,15,975.00,495.00,11.00,5.00,4.00,0.00,9.00,1499.00
Boston,20,16,962.00,551.00,27.00,7.00,12.00,0.00,14.00,1573.00
Boston,20,17,1167.00,536.00,19.00,5.00,5.00,0.00,11.00,1743.00
Boston,20,18,640.00,198.00,7.00,4.00,6.00,0.00,2.00,857.00
Boston,20,19,642.00,257.00,13.00,4.00,4.00,0.00,5.00,925.00
Boston,20,20,1079.00,381.00,8.00,7.00,7.00,0.00,7.00,1489.00
Boston,21,1,1248.00,93.00,12.00,7.00,8.00,0.00,3.00,1371.00
Boston,21,2,297.00,24.00, -   ,3.00,3.00,0.00,3.00,330.00
Boston,21,3,720.00,67.00,15.00,14.00,2.00,0.00,2.00,820.00
Boston,21,4,636.00,50.00,9.00,12.00,8.00,0.00,4.00,719.00
Boston,21,5,946.00,78.00,8.00,16.00,4.00,0.00,6.00,1058.00
Boston,21,6,715.00,73.00,6.00,13.00,6.00,0.00,0.00,813.00
Boston,21,7,930.00,109.00,11.00,10.00,7.00,0.00,4.00,1071.00
Boston,21,8,1180.00,94.00,11.00,11.00,16.00,0.00,10.00,1322.00
Boston,21,9,1158.00,148.00,11.00,13.00,7.00,0.00,8.00,1345.00
Boston,21,10,839.00,135.00,5.00,8.00,5.00,0.00,6.00,998.00
Boston,21,11,1153.00,123.00,13.00,6.00,14.00,0.00,4.00,1313.00
Boston,21,16,1013.00,198.00,16.00,12.00,13.00,0.00,4.00,1256.00
Boston,22,1,1277.00,165.00,27.00,15.00,8.00,0.00,6.00,1498.00
Boston,22,2,1469.00,205.00,14.00,13.00,15.00,0.00,9.00,1725.00
Boston,22,3,1172.00,258.00,18.00,13.00,14.00,0.00,5.00,1480.00
Boston,22,4,913.00,159.00,20.00,9.00,5.00,0.00,6.00,1112.00
Boston,22,5,775.00,136.00,15.00,4.00,2.00,0.00,3.00,935.00
Boston,22,6,747.00,130.00,8.00,15.00,4.00,0.00,3.00,907.00
Boston,22,7,1051.00,151.00,17.00,12.00,8.00,0.00,4.00,1243.00
Boston,22,8,713.00,192.00,19.00,3.00,4.00,0.00,9.00,940.00
Boston,22,9,797.00,219.00,14.00,14.00,8.00,0.00,5.00,1057.00
Boston,22,10,991.00,169.00,14.00,8.00,10.00,0.00,8.00,1200.00
Boston,22,11,703.00,158.00,8.00,8.00,7.00,0.00,6.00,890.00
Boston,22,12,676.00,150.00,4.00,5.00,6.00,0.00,6.00,847.00
Boston,22,13,612.00,111.00,8.00,6.00,7.00,0.00,3.00,747.00
Bourne, -,1,879.00,825.00,37.00,8.00,5.00,0.00,12.00,1766.00
Bourne, -,2,1051.00,954.00,27.00,18.00,15.00,0.00,23.00,2088.00
Bourne, -,3,600.00,592.00,11.00,5.00,2.00,0.00,9.00,1219.00
Bourne, -,4,1137.00,878.00,19.00,7.00,10.00,0.00,11.00,2062.00
Bourne, -,5,1069.00,753.00,23.00,7.00,9.00,0.00,42.00,1903.00
Bourne, -,6,804.00,497.00,8.00,6.00,4.00,0.00,22.00,1341.00
Bourne, -,7,987.00,832.00,23.00,8.00,9.00,0.00,8.00,1867.00
Boxborough, -,1,2526.00,786.00,63.00,22.00,5.00,0.00,38.00,3440.00
Boxford, -,1,1010.00,755.00,31.00,10.00,11.00,0.00,10.00,1827.00
Boxford, -,2,1092.00,781.00,38.00,9.00,15.00,0.00,10.00,1945.00
Boxford, -,3,1015.00,735.00,24.00,4.00,13.00,0.00,19.00,1810.00
Boylston, -,1,1877.00,1318.00,70.00,15.00,24.00,0.00,17.00,3321.00
Braintree, -,1A,1022.00,818.00,21.00,7.00,6.00,0.00,5.00,1879.00
Braintree, -,1B,973.00,748.00,19.00,3.00,7.00,0.00,17.00,1767.00
Braintree, -,2A,1133.00,724.00,16.00,8.00,17.00,0.00,12.00,1910.00
Braintree, -,2B,1057.00,767.00,20.00,10.00,12.00,0.00,15.00,1881.00
Braintree, -,3A,926.00,610.00,20.00,8.00,10.00,0.00,7.00,1581.00
Braintree, -,3B,1000.00,663.00,17.00,10.00,4.00,0.00,11.00,1705.00
Braintree, -,4A,948.00,625.00,11.00,9.00,8.00,0.00,13.00,1614.00
Braintree, -,4B,1085.00,570.00,20.00,8.00,12.00,0.00,14.00,1709.00
Braintree, -,5A,1001.00,690.00,16.00,9.00,13.00,0.00,17.00,1746.00
Braintree, -,5B,1181.00,817.00,25.00,11.00,8.00,0.00,27.00,2069.00
Braintree, -,6A,1177.00,881.00,23.00,5.00,8.00,0.00,8.00,2102.00
Braintree, -,6B,1109.00,831.00,24.00,6.00,8.00,0.00,12.00,1990.00
Brewster, -,1,1673.00,796.00,41.00,8.00,6.00,0.00,22.00,2546.00
Brewster, -,2,1684.00,735.00,31.00,15.00,8.00,0.00,18.00,2491.00
Brewster, -,3,1583.00,807.00,30.00,15.00,4.00,0.00,18.00,2457.00
Bridgewater, -,1,1465.00,1377.00,37.00,16.00,18.00,0.00,19.00,2932.00
Bridgewater, -,2,1256.00,1088.00,39.00,12.00,11.00,0.00,12.00,2418.00
Bridgewater, -,3,1513.00,1550.00,34.00,7.00,10.00,0.00,17.00,3131.00
Bridgewater, -,4,681.00,571.00,18.00,3.00,3.00,0.00,11.00,1287.00
Bridgewater, -,5,412.00,279.00,17.00,6.00,3.00,0.00,6.00,723.00
Bridgewater, -,6,1102.00,749.00,36.00,14.00,12.00,0.00,9.00,1922.00
Bridgewater, -,7,1259.00,958.00,39.00,14.00,7.00,0.00,13.00,2290.00
Brimfield, -,1,1063.00,1193.00,44.00,11.00,3.00,0.00,35.00,2349.00
Brockton,1,A,1004.00,189.00,13.00,6.00,1.00,0.00,6.00,1219.00
Brockton,1,B,1209.00,345.00,19.00,5.00,6.00,0.00,8.00,1592.00
Brockton,1,C,1038.00,331.00,9.00,5.00,0.00,0.00,7.00,1390.00
Brockton,1,D,1325.00,624.00,12.00,13.00,0.00,0.00,24.00,1998.00
Brockton,2,A,832.00,103.00,15.00,3.00,2.00,0.00,6.00,961.00
Brockton,2,B,748.00,93.00,1.00,4.00,3.00,0.00,3.00,852.00
Brockton,2,C,728.00,119.00,6.00,5.00,2.00,0.00,4.00,864.00
Brockton,2,D,1023.00,259.00,12.00,3.00,1.00,0.00,7.00,1305.00
Brockton,3,A,1032.00,249.00,6.00,3.00,0.00,0.00,5.00,1295.00
Brockton,3,B,961.00,167.00,9.00,6.00,1.00,0.00,12.00,1156.00
Brockton,3,C,1235.00,516.00,10.00,6.00,3.00,0.00,7.00,1777.00
Brockton,3,D,1188.00,590.00,15.00,6.00,4.00,0.00,7.00,1810.00
Brockton,4,A,759.00,118.00,6.00,1.00,0.00,0.00,8.00,892.00
Brockton,4,B,1139.00,297.00,15.00,3.00,0.00,0.00,11.00,1465.00
Brockton,4,C,1057.00,404.00,17.00,3.00,5.00,0.00,7.00,1493.00
Brockton,4,D,1034.00,379.00,9.00,3.00,7.00,0.00,10.00,1442.00
Brockton,5,A,1047.00,195.00,10.00,3.00,4.00,0.00,6.00,1265.00
Brockton,5,B,1129.00,411.00,24.00,6.00,1.00,0.00,11.00,1582.00
Brockton,5,C,1093.00,245.00,12.00,6.00,0.00,0.00,10.00,1366.00
Brockton,5,D,1093.00,435.00,16.00,3.00,0.00,0.00,12.00,1559.00
Brockton,6,A,962.00,234.00,21.00,2.00,3.00,0.00,12.00,1234.00
Brockton,6,B,1220.00,532.00,17.00,5.00,1.00,0.00,13.00,1788.00
Brockton,6,C,1147.00,355.00,12.00,8.00,5.00,0.00,7.00,1534.00
Brockton,6,D,1060.00,553.00,15.00,10.00,4.00,0.00,9.00,1651.00
Brockton,7,A,984.00,159.00,10.00,3.00,0.00,0.00,4.00,1160.00
Brockton,7,B,1231.00,240.00,9.00,11.00,1.00,0.00,4.00,1496.00
Brockton,7,C,1089.00,205.00,12.00,8.00,3.00,0.00,9.00,1326.00
Brockton,7,D,1108.00,342.00,16.00,3.00,0.00,0.00,13.00,1482.00
Brookfield, -,1,946.00,1054.00,34.00,16.00,4.00,0.00,8.00,2062.00
Brookline, -,1,1669.00,153.00,16.00,2.00,7.00,0.00,10.00,1857.00
Brookline, -,2,1100.00,152.00,7.00,7.00,7.00,0.00,4.00,1277.00
Brookline, -,3,1722.00,185.00,11.00,5.00,9.00,0.00,13.00,1945.00
Brookline, -,4,1507.00,218.00,19.00,11.00,7.00,0.00,14.00,1776.00
Brookline, -,5,1869.00,192.00,15.00,13.00,6.00,0.00,21.00,2116.00
Brookline, -,6,1848.00,157.00,10.00,13.00,8.00,0.00,6.00,2042.00
Brookline, -,7,1608.00,173.00,18.00,6.00,3.00,0.00,12.00,1820.00
Brookline, -,8,1734.00,116.00,5.00,16.00,0.00,0.00,12.00,1883.00
Brookline, -,9,1724.00,199.00,16.00,9.00,2.00,0.00,16.00,1966.00
Brookline, -,10,1738.00,207.00,14.00,7.00,2.00,0.00,23.00,1991.00
Brookline, -,11,1851.00,203.00,14.00,10.00,7.00,0.00,13.00,2098.00
Brookline, -,12,2077.00,239.00,28.00,7.00,10.00,0.00,18.00,2379.00
Brookline, -,13,1789.00,216.00,21.00,9.00,18.00,0.00,17.00,2070.00
Brookline, -,14,1754.00,317.00,27.00,10.00,16.00,0.00,16.00,2140.00
Brookline, -,15,1694.00,412.00,13.00,10.00,12.00,0.00,17.00,2158.00
Brookline, -,16,1466.00,279.00,9.00,13.00,11.00,0.00,9.00,1787.00
Buckland, -,1,889.00,268.00,18.00,14.00,2.00,0.00,12.00,1203.00
Burlington, -,1,1448.00,941.00,23.00,11.00,11.00,0.00,20.00,2454.00
Burlington, -,2,1048.00,539.00,21.00,13.00,7.00,0.00,7.00,1635.00
Burlington, -,3,1390.00,804.00,34.00,7.00,12.00,0.00,14.00,2261.00
Burlington, -,4,1257.00,710.00,19.00,8.00,10.00,0.00,12.00,2016.00
Burlington, -,5,1413.00,856.00,36.00,11.00,9.00,0.00,15.00,2340.00
Burlington, -,6,1320.00,915.00,31.00,12.00,6.00,0.00,12.00,2296.00
Burlington, -,7,1571.00,801.00,32.00,14.00,6.00,0.00,5.00,2429.00
Cambridge,1,1,1898.00,227.00,26.00,5.00,7.00,0.00,11.00,2174.00
Cambridge,1,2,1447.00,190.00,19.00,16.00,12.00,0.00,6.00,1690.00
Cambridge,1,3,1600.00,201.00,16.00,11.00,8.00,0.00,19.00,1855.00
Cambridge,2,1,1504.00,102.00,7.00,5.00,7.00,0.00,15.00,1640.00
Cambridge,2,2,295.00,11.00,5.00,5.00,6.00,0.00,1.00,323.00
Cambridge,2,3,808.00,76.00,14.00,7.00,7.00,0.00,5.00,917.00
Cambridge,3,1,1553.00,191.00,14.00,8.00,15.00,0.00,10.00,1791.00
Cambridge,3,2,938.00,62.00,1.00,6.00,5.00,0.00,2.00,1014.00
Cambridge,3,3,1463.00,83.00,5.00,17.00,8.00,0.00,2.00,1578.00
Cambridge,4,1,1873.00,75.00,15.00,16.00,6.00,0.00,4.00,1989.00
Cambridge,4,2,1887.00,99.00,13.00,15.00,7.00,0.00,6.00,2027.00
Cambridge,4,3,629.00,37.00,4.00,3.00,2.00,0.00,2.00,677.00
Cambridge,5,1,1670.00,88.00,12.00,16.00,9.00,0.00,10.00,1805.00
Cambridge,5,2,1757.00,114.00,12.00,15.00,9.00,0.00,7.00,1914.00
Cambridge,5,3,1309.00,60.00,8.00,14.00,4.00,0.00,9.00,1404.00
Cambridge,6,1,1846.00,74.00,17.00,17.00,7.00,0.00,10.00,1971.00
Cambridge,6,2,1674.00,70.00,17.00,14.00,8.00,0.00,11.00,1794.00
Cambridge,6,3,1805.00,136.00,8.00,10.00,9.00,0.00,5.00,1973.00
Cambridge,7,1,1730.00,70.00,11.00,18.00,8.00,0.00,8.00,1845.00
Cambridge,7,2,828.00,58.00,10.00,15.00,10.00,0.00,5.00,926.00
Cambridge,7,3,505.00,33.00,2.00,5.00,7.00,0.00,1.00,553.00
Cambridge,8,1,1213.00,55.00,4.00,10.00,10.00,0.00,7.00,1299.00
Cambridge,8,2,1213.00,53.00,9.00,10.00,1.00,0.00,3.00,1289.00
Cambridge,8,3,277.00,14.00,2.00,0.00,1.00,0.00,1.00,295.00
Cambridge,9,1,2111.00,105.00,9.00,11.00,10.00,0.00,6.00,2252.00
Cambridge,9,2,2211.00,208.00,17.00,17.00,8.00,0.00,14.00,2475.00
Cambridge,9,3,1697.00,197.00,17.00,12.00,12.00,0.00,12.00,1947.00
Cambridge,10,1,2090.00,108.00,11.00,13.00,12.00,0.00,9.00,2243.00
Cambridge,10,2,1998.00,79.00,11.00,15.00,13.00,0.00,9.00,2125.00
Cambridge,10,3,1732.00,101.00,14.00,11.00,5.00,0.00,8.00,1871.00
Cambridge,11,1,2130.00,164.00,25.00,11.00,5.00,0.00,10.00,2345.00
Cambridge,11,2,2125.00,170.00,18.00,23.00,9.00,0.00,6.00,2351.00
Cambridge,11,3,1705.00,152.00,12.00,12.00,11.00,0.00,7.00,1899.00
Canton, -,1,1421.00,742.00,36.00,10.00,10.00,0.00,12.00,2231.00
Canton, -,2,1617.00,825.00,18.00,8.00,9.00,0.00,10.00,2487.00
Canton, -,3,1527.00,781.00,31.00,8.00,2.00,0.00,15.00,2364.00
Canton, -,4,1653.00,1040.00,33.00,10.00,13.00,0.00,20.00,2769.00
Canton, -,5,1546.00,825.00,38.00,6.00,12.00,0.00,18.00,2445.00
Canton, -,6,1458.00,752.00,31.00,14.00,9.00,0.00,11.00,2275.00
Carlisle, -,1,2772.00,767.00,58.00,17.00,24.00,0.00,32.00,3670.00
Carver, -,1,1017.00,1161.00,33.00,19.00,17.00,0.00,11.00,2258.00
Carver, -,2,1025.00,1120.00,27.00,10.00,12.00,0.00,8.00,2202.00
Carver, -,3,1235.00,1223.00,36.00,9.00,17.00,0.00,21.00,2541.00
Charlemont, -,1,492.00,235.00,12.00,4.00,0.00,0.00,6.00,749.00
Charlton, -,1,952.00,907.00,45.00,11.00,6.00,0.00,17.00,1938.00
Charlton, -,2,887.00,1145.00,46.00,13.00,12.00,0.00,7.00,2110.00
Charlton, -,3,975.00,1122.00,28.00,13.00,8.00,0.00,12.00,2158.00
Charlton, -,4,945.00,953.00,39.00,8.00,7.00,0.00,11.00,1963.00
Chatham, -,1,3107.00,1834.00,70.00,23.00,41.00,0.00,47.00,5122.00
Chelmsford, -,1,1615.00,811.00,37.00,9.00,18.00,0.00,13.00,2503.00
Chelmsford, -,2,1463.00,770.00,37.00,11.00,15.00,0.00,9.00,2305.00
Chelmsford, -,3,1403.00,949.00,36.00,14.00,17.00,0.00,14.00,2433.00
Chelmsford, -,4,1405.00,945.00,46.00,8.00,10.00,0.00,16.00,2430.00
Chelmsford, -,5,1563.00,866.00,56.00,11.00,11.00,0.00,16.00,2523.00
Chelmsford, -,6,1576.00,882.00,47.00,16.00,10.00,0.00,19.00,2550.00
Chelmsford, -,7,1660.00,861.00,59.00,9.00,16.00,0.00,15.00,2620.00
Chelmsford, -,8,1552.00,837.00,43.00,11.00,10.00,0.00,10.00,2463.00
Chelmsford, -,9,1664.00,902.00,37.00,17.00,14.00,0.00,25.00,2659.00
Chelsea,1,1,423.00,150.00,3.00,5.00,0.00,0.00,9.00,590.00
Chelsea,1,2,284.00,86.00,3.00,0.00,0.00,0.00,5.00,378.00
Chelsea,1,3,388.00,81.00,5.00,0.00,0.00,0.00,4.00,478.00
Chelsea,1,4,386.00,58.00,4.00,4.00,0.00,0.00,4.00,456.00
Chelsea,2,1,1052.00,292.00,19.00,4.00,0.00,0.00,23.00,1390.00
Chelsea,2,2,665.00,118.00,10.00,4.00,0.00,0.00,11.00,808.00
Chelsea,2,3,285.00,57.00,1.00,5.00,0.00,0.00,8.00,356.00
Chelsea,2,4,429.00,90.00,3.00,2.00,0.00,0.00,9.00,533.00
Chelsea,3,1,498.00,88.00,6.00,3.00,0.00,0.00,8.00,603.00
Chelsea,3,2,636.00,131.00,8.00,2.00,0.00,0.00,6.00,783.00
Chelsea,3,3,454.00,147.00,6.00,2.00,0.00,0.00,7.00,616.00
Chelsea,3,4,510.00,124.00, -   ,4.00,0.00,0.00,4.00,642.00
Chelsea,4,1,564.00,160.00,5.00,9.00,0.00,0.00,5.00,743.00
Chelsea,4,2,566.00,254.00,13.00,9.00,0.00,0.00,8.00,850.00
Chelsea,4,3,564.00,207.00,6.00,1.00,0.00,0.00,7.00,785.00
Chelsea,4,4,451.00,172.00,4.00,4.00,0.00,0.00,5.00,636.00
Cheshire, -,1,1124.00,775.00,36.00,0.00,11.00,0.00,20.00,1966.00
Chester, -,1,313.00,415.00,14.00,2.00,0.00,0.00,5.00,749.00
Chesterfield, -,1,510.00,287.00,14.00,9.00,2.00,0.00,11.00,833.00
Chicopee,1,A,818.00,654.00,20.00,17.00,9.00,0.00,5.00,1523.00
Chicopee,1,B,1020.00,775.00,25.00,13.00,4.00,0.00,12.00,1849.00
Chicopee,2,A,646.00,339.00,10.00,5.00,0.00,0.00,2.00,1002.00
Chicopee,2,B,910.00,757.00,24.00,8.00,7.00,0.00,5.00,1711.00
Chicopee,3,A,755.00,610.00,15.00,7.00,5.00,0.00,9.00,1401.00
Chicopee,3,B,650.00,465.00,22.00,7.00,3.00,0.00,5.00,1152.00
Chicopee,4,A,788.00,499.00,18.00,8.00,3.00,0.00,10.00,1326.00
Chicopee,4,B,797.00,447.00,23.00,8.00,3.00,0.00,3.00,1281.00
Chicopee,5,A,886.00,554.00,24.00,9.00,4.00,0.00,6.00,1483.00
Chicopee,5,B,767.00,539.00,21.00,7.00,6.00,0.00,7.00,1347.00
Chicopee,6,A,485.00,389.00,7.00,5.00,6.00,0.00,5.00,897.00
Chicopee,6,B,690.00,803.00,22.00,13.00,7.00,0.00,7.00,1542.00
Chicopee,7,A,649.00,402.00,16.00,8.00,2.00,0.00,9.00,1086.00
Chicopee,7,B,802.00,439.00,21.00,12.00,2.00,0.00,6.00,1282.00
Chicopee,8,A,855.00,628.00,42.00,12.00,6.00,0.00,8.00,1551.00
Chicopee,8,B,738.00,602.00,20.00,8.00,6.00,0.00,6.00,1380.00
Chicopee,9,A,846.00,631.00,28.00,12.00,3.00,0.00,9.00,1529.00
Chicopee,9,B,982.00,802.00,28.00,11.00,6.00,0.00,13.00,1842.00
Chilmark, -,1,796.00,111.00,5.00,3.00,6.00,0.00,3.00,924.00
Clarksburg, -,1,583.00,390.00,13.00,2.00,2.00,0.00,12.00,1002.00
Clinton, -,1,1287.00,717.00,40.00,13.00,13.00,0.00,7.00,2077.00
Clinton, -,2,1145.00,666.00,44.00,20.00,5.00,0.00,8.00,1888.00
Clinton, -,3,1197.00,757.00,40.00,14.00,10.00,0.00,11.00,2029.00
Clinton, -,4,1059.00,746.00,34.00,7.00,12.00,0.00,8.00,1866.00
Cohasset, -,1,1849.00,786.00,41.00,5.00,32.00,0.00,18.00,2731.00
Cohasset, -,2,2000.00,879.00,55.00,6.00,16.00,0.00,40.00,2996.00
Colrain, -,1,667.00,306.00,20.00,10.00,4.00,0.00,5.00,1012.00
Concord, -,1,1930.00,354.00,34.00,10.00,18.00,0.00,19.00,2365.00
Concord, -,2,2261.00,444.00,33.00,11.00,23.00,0.00,13.00,2785.00
Concord, -,3,2058.00,435.00,31.00,13.00,19.00,0.00,19.00,2575.00
Concord, -,4,2338.00,476.00,41.00,14.00,23.00,0.00,17.00,2909.00
Concord, -,5,1437.00,268.00,21.00,4.00,15.00,0.00,12.00,1757.00
Conway, -,1,989.00,278.00,24.00,11.00,1.00,0.00,5.00,1308.00
Cummington, -,1,413.00,162.00,7.00,4.00,5.00,0.00,5.00,596.00
Dalton, -,1,1305.00,560.00,33.00,13.00,5.00,0.00,5.00,1921.00
Dalton, -,2,1377.00,479.00,30.00,14.00,5.00,0.00,6.00,1911.00
Danvers, -,1,1339.00,759.00,26.00,13.00,0.00,0.00,15.00,2152.00
Danvers, -,2,1256.00,796.00,28.00,11.00,12.00,0.00,12.00,2115.00
Danvers, -,3,1060.00,736.00,18.00,12.00,4.00,0.00,18.00,1848.00
Danvers, -,4,1328.00,766.00,27.00,9.00,5.00,0.00,30.00,2165.00
Danvers, -,5,1266.00,948.00,21.00,13.00,10.00,0.00,17.00,2275.00
Danvers, -,6,1169.00,964.00,25.00,11.00,7.00,0.00,21.00,2197.00
Danvers, -,7,1277.00,860.00,38.00,11.00,6.00,0.00,23.00,2215.00
Danvers, -,8,1138.00,896.00,28.00,11.00,3.00,0.00,19.00,2095.00
Dartmouth, -,1,1056.00,1314.00,41.00,4.00,7.00,0.00,11.00,2433.00
Dartmouth, -,2,790.00,668.00,10.00,7.00,7.00,0.00,7.00,1489.00
Dartmouth, -,3,44.00,3.00, -   ,0.00,0.00,0.00,0.00,47.00
Dartmouth, -,4,1191.00,938.00,21.00,14.00,5.00,0.00,8.00,2177.00
Dartmouth, -,5,1292.00,1021.00,18.00,11.00,11.00,0.00,14.00,2367.00
Dartmouth, -,6,953.00,844.00,15.00,8.00,3.00,0.00,11.00,1834.00
Dartmouth, -,7,1197.00,1020.00,22.00,8.00,5.00,0.00,15.00,2267.00
Dartmouth, -,8,1635.00,937.00,25.00,5.00,13.00,0.00,17.00,2632.00
Dartmouth, -,9,1634.00,1033.00,29.00,13.00,12.00,0.00,12.00,2733.00
Dedham, -,1,1762.00,489.00,14.00,5.00,27.00,0.00,23.00,2320.00
Dedham, -,2,1522.00,698.00,21.00,12.00,9.00,0.00,22.00,2284.00
Dedham, -,3,1423.00,608.00,28.00,17.00,8.00,0.00,8.00,2092.00
Dedham, -,4,1502.00,639.00,30.00,5.00,8.00,0.00,17.00,2201.00
Dedham, -,5,1525.00,795.00,33.00,11.00,10.00,0.00,11.00,2385.00
Dedham, -,6,1652.00,719.00,38.00,5.00,11.00,0.00,18.00,2443.00
Dedham, -,7,1374.00,823.00,27.00,5.00,12.00,0.00,15.00,2256.00
Deerfield, -,1,2425.00,839.00,55.00,21.00,10.00,0.00,20.00,3370.00
Dennis, -,1,1280.00,868.00,20.00,2.00,8.00,0.00,13.00,2191.00
Dennis, -,2,1316.00,862.00,21.00,4.00,12.00,0.00,16.00,2231.00
Dennis, -,3,1109.00,674.00,25.00,8.00,5.00,0.00,6.00,1827.00
Dennis, -,4,1266.00,792.00,23.00,14.00,11.00,0.00,6.00,2112.00
Dennis, -,5,1210.00,742.00,30.00,8.00,11.00,0.00,12.00,2013.00
