,name,type,address,zip,lat,lon
992,American Food Basket,grocery,500 Geneva Ave,2122.0,42.298782,-71.062962
993,American International Food,grocery,577 Cummins Hwy,2136.0,42.273118,-71.108168
994,American Legion Market,grocery,569 American Legion Hwy,2131.0,42.287132,-71.108604
995,Angel's Market,grocery,503 Washington St,2124.0,42.294082,-71.071994
996,B O M E,grocery,148 Hampden St,2119.0,42.328082,-71.075049
997,Bani Market,grocery,353 Meridian St,2128.0,42.378673,-71.039132
998,Bazaar On Cambridge St,grocery,424 Cambridge St,2134.0,42.354459,-71.134395
999,Beacon Hill,grocery,65 Charles St,2114.0,42.358114,-71.070184
1000,Beacon Hill Market,grocery,55 Anderson St,2114.0,42.359319,-71.067773
1001,Beni's Restaurant,grocery,145 Meridian St,2128.0,42.373813,-71.039004
1002,Beyenes Food Basket,grocery,1 Congress St,2114.0,42.36277,-71.05849
1003,Bfresh,grocery,214 Harvard Ave,2134.0,42.34968,-71.129971
1004,Biena Foods,grocery,PO Box 121178,2112.0,42.357582,-71.05763
1005,Blanco Market,grocery,71 Day St,2130.0,42.324577,-71.108325
1006,Blue Hill Star,grocery,1366 Blue Hill Ave,2126.0,42.2767,-71.093128
1007,Bon Me Foods LLC,grocery, ,2119.0,42.325438,-71.084615
1008,Boston Food Enterprise Ctr,grocery,32 Linwood St,2119.0,42.325438,-71.084615
1009,Boston Red Dogs,grocery,280 Washington St,2108.0,42.357135,-71.057896
1010,Brothers Market,grocery,517 Warren St,2121.0,42.313587,-71.08372
1011,Brothers Supermarket,grocery,46 Washington St,2121.0,42.307086,-71.082046
1012,Calderon Market,grocery,20 Hancock St,2125.0,42.315015,-71.065876
1013,Camilo Market Inc,grocery,280 Centre St,2130.0,42.322646,-71.101602
1014,Campus Convenience,grocery,275 Babcock St,2215.0,42.352774,-71.120999
1015,Captain Jack's Wicket Fine Fds,grocery,11 Fleet St # 7,2113.0,42.364547,-71.054367
1016,Charles St Market,grocery,66 Charles St,2114.0,42.357576,-71.07045
1017,Chef Lees Famous Sout Food,grocery,554 Columbia Rd,2125.0,42.316097,-71.06623
1018,Cheng Kwong Seafood Market,grocery,73 Essex St # 79,2111.0,42.352333,-71.060445
1019,City Fresh Foods,grocery,28 Bowdoin St,2114.0,42.361233,-71.065706
1020,Claudia Market Inc,grocery,160 Humboldt Ave,2121.0,42.314615,-71.088243
1021,Clear Edge Foods Inc,grocery,88 Worcester St,2118.0,42.339551,-71.078435
1022,Colleen Bawn Fine Foods,grocery,1 Faneuil Hall Sq,2109.0,42.360041,-71.055744
1023,Condor Market Inc,grocery,655 Saratoga St,2128.0,42.382249,-71.020796
1024,Consumer Market Corp,grocery,60 Maverick St,2128.0,42.371196,-71.040954
1025,Daikoku Food,grocery,231 Everett St,2134.0,42.361017,-71.135968
1026,Daily Table,grocery,450 Washington St,2124.0,42.29587,-71.071856
1027,De Leon Market,grocery,3145 Washington St,2130.0,42.314056,-71.100291
1028,Despensa De Don Pedro,grocery,105 Chelsea St,2128.0,42.37245,-71.035493
1029,Diana Market,grocery,1070 Hyde Park Ave,2136.0,42.26255,-71.121415
1030,Dimenstional Food Corp,grocery,8 Faneuil Hall Sq,2109.0,42.359135,-71.055237
1031,Dos Gringas Locas,grocery,92 Day St,2130.0,42.323618,-71.10907
1032,Dudly Food Market Inc,grocery,543 Dudley St,2119.0,42.321735,-71.072351
1033,E Patio Market,grocery,371 Centre St,2130.0,42.322339,-71.10878
1034,East Broadway Market,grocery,869 E Broadway,2127.0,42.335686,-71.029285
1035,Edible Accents,grocery,23 Samoset St # 1,2124.0,42.291362,-71.065047
1036,Egleston Market,grocery,3145 Washington St,2130.0,42.314056,-71.100291
1037,Eliana Market,grocery,1909 Columbus Ave # 1,2119.0,42.31708,-71.098501
1038,Estrella Grocery,grocery,342 Blue Hill Ave,2121.0,42.312695,-71.08003
1039,Fair Foods Inc,grocery,95 Freeport St,2122.0,42.305215,-71.057572
1040,Fame Food Management,grocery,10 Causeway St,2222.0,42.365165,-71.063096
1041,Family Market,grocery,334 E 8th St,2127.0,42.331288,-71.047679
1042,Faneuil Street Market,grocery,243 Faneuil St,2135.0,42.352705,-71.160305
1043,Fiesta Market,grocery,178 Bennington St,2128.0,42.377394,-71.032671
1044,Food Pak Express,grocery,155 Southampton St,2118.0,42.331174,-71.06739
1045,Foodie,grocery,230 W Broadway,2127.0,42.339831,-71.051875
1046,Fort Hill Food Emporium,grocery,85 Centre St,2119.0,42.328465,-71.09542
1047,Golden Goose Office,grocery,120 Fulton St,2109.0,42.363175,-71.052493
1048,Good Food Inc,grocery,49 Warren St,2119.0,42.328874,-71.083146
1049,Goose Valley Natural Foods LLC,grocery,399 Boylston St # 3-300,2116.0,42.351772,-71.072255
1050,Greek International Food Mkt,grocery,5204 Washington St,2132.0,42.260849,-71.157123
1051,Green Street Supermarket,grocery,186 Green St,2130.0,42.309951,-71.105643
1052,Hana Foods Inc,grocery,1400 Commonwealth Ave # 4,2134.0,42.348273,-71.138371
1053,Happy Family Food Market,grocery,11 Hudson St # A,2111.0,42.350857,-71.060232
1054,Happy Super-Market,grocery,868 Blue Hill Ave,2124.0,42.295215,-71.08767
1055,Henry's Market,grocery,892 South St,2131.0,42.28839,-71.134735
1056,Home Market Foods,grocery,18 Food Mart Rd,2118.0,42.337343,-71.062851
1057,Imperial Food,grocery,96 Business St,2136.0,42.251779,-71.127934
1058,International Food,grocery,984 Saratoga St,2128.0,42.386937,-71.007066
1059,International Foods,grocery,1295 Massachusetts Ave # A,2125.0,42.320841,-71.062099
1060,International Grocery Store,grocery,3999 Washington St,2131.0,42.292789,-71.121653
1061,Island Flavor Foods,grocery,1 Bowdoin St,2124.0,42.288315,-71.072573
1062,It's Not Bertha's Quality Food,grocery,718 Shawmut Ave,2119.0,42.333006,-71.083012
1063,J P Convenience Store,grocery,36 Gay Head St,2130.0,42.325036,-71.104926
1064,J Pace & Son Inc,grocery,75 Blossom Ct # 1,2114.0,42.36491,-71.066809
1065,J Pace & Sons Inc,grocery,42 Cross St,2113.0,42.363157,-71.056787
1066,Jia Ho Supermarket,grocery,692 Washington St,2111.0,42.351204,-71.062668
1067,Kosmos Market,grocery,683 Tremont St # 2,2118.0,42.341556,-71.076623
1068,L & D Market Inc,grocery,121 Meridian St,2128.0,42.373244,-71.038774
1069,L Win Family Co @ Suffolk Univ,grocery,74 Suffolk Street,2108.0,42.357979,-71.062564
1070,LA Caja Market,grocery,353 Meridian St,2128.0,42.378673,-71.039132
1071,Lacarivena Market,grocery,181 Washington St,2121.0,42.30344,-71.078647
1072,Lambert's Marketplace,grocery,140 Tremont St,2111.0,42.355656,-71.062556
1073,Lefty's Silver Cart,grocery,20 Hanson St # 1,2118.0,42.343585,-71.07029
1074,Leos Grocery Inc,grocery,342 Blue Hill Ave,2121.0,42.312695,-71.08003
1075,Lilly Foods Inc,grocery,1365 Dorchester Ave # 1377,2122.0,42.297795,-71.055116
1076,Linden's Superette,grocery,101 Brighton Ave,2134.0,42.35308,-71.130607
1077,Lluvia Market,grocery,1985 Columbus Ave,2119.0,42.314838,-71.097815
1078,Local Spoonfuls,grocery,18 Upcrest Rd,2135.0,42.352923,-71.164152
1079,Lord Jeff's Beef Place,grocery,129 Newmarket Sq,2118.0,42.33052,-71.066883
1080,Mar Air Foods,grocery,300 Terminal E,2128.0,42.377292,-71.032514
1081,Marcella's Market,grocery,80 Marcella St,2119.0,42.323647,-71.095769
1082,Maria Market,grocery,1760 Dorchester Ave,2124.0,42.289883,-71.062966
1083,Market 27,grocery,27 Adelaide St,2130.0,42.31728,-71.110257
1084,Maverick Market,grocery,205 Maverick St,2128.0,42.368833,-71.036066
1085,Meatland Jamaica Plain,grocery,306 Centre St,2130.0,42.322695,-71.103545
1086,Medina's Market,grocery,65 W Dedham St,2118.0,42.342113,-71.07302
1087,Meridian Food Market,grocery,121 Meridian St,2128.0,42.373244,-71.038774
1088,Merkato,grocery,1127 Harrison Ave,2119.0,42.330616,-71.081574
1089,Miller's Market Inc,grocery,336 K St,2127.0,42.332167,-71.03709
1090,Ming Yu Seafood,grocery,10 Tyler St,2111.0,42.350978,-71.060463
1091,Moscow International Food,grocery,133 Harvard Ave,2134.0,42.352163,-71.132036
1092,N & N Foods Inc,grocery,1799 Commonwealth Ave,2135.0,42.340487,-71.151388
1093,Navarrete Foods Inc,grocery,50 Terminal St,2129.0,42.382711,-71.060047
1094,Ne Open Markets LLC,grocery,580 Harrison Ave,2118.0,42.340651,-71.067897
1095,New Academy Market,grocery,2981 Washington St,2119.0,42.317938,-71.096555
1096,New Vien Dong Far East Sprmrkt,grocery,1159 Dorchester Ave,2125.0,42.311139,-71.057689
1097,Newlyweds Foods Co,grocery,750 Dorchester Ave,2125.0,42.324542,-71.056645
1098,No Name Deli & Grocerytwo,grocery,1300 Blue Hill Ave,2126.0,42.279256,-71.092952
1099,Nuevo Mundo Food Market,grocery,192 Maverick St,2128.0,42.369239,-71.036537
1100,Old Red Dog,grocery,15 State St,2109.0,42.362992,-71.09853
1101,Papa Grande Foods Inc,grocery,364 Bunker Hill St,2129.0,42.381684,-71.068487
1102,Park Ave Market,grocery,631 Hyde Park Ave,2131.0,42.278848,-71.119394
1103,Peoples Tropical Foods,grocery,1830 Washington St,2118.0,42.335448,-71.078227
1104,Phu Thunh Market,grocery,1826 Dorchester Ave,2124.0,42.288544,-71.063288
1105,Pimentel Market,grocery,340 Centre St,2130.0,42.322411,-71.106565
1106,Popcorn Plaza,grocery,225 Franklin St # 26383a,2110.0,42.356184,-71.054072
1107,Portillo Brothers Market,grocery,60 Maverick St,2128.0,42.371196,-71.040954
1108,Portillo Food Market,grocery,44 Brooks St,2128.0,42.376055,-71.032676
1109,Portillo's Food Market,grocery,60 Maverick St,2128.0,42.371196,-71.040954
1110,Preferred Meal Systems Inc,grocery,85 Newmarket Sq,2118.0,42.329402,-71.06701
1111,Punch Bowl,grocery,106 Faraday St,2136.0,42.243016,-71.122437
1112,Punjab Foods Inc,grocery,3706 Washington St,2130.0,42.30036,-71.112971
1113,Rae Foods,grocery,31 Germania St # I-8j,2130.0,42.314225,-71.102698
1114,Raj Bangla Corp,grocery,2253 Dorchester Ave,2124.0,42.27351,-71.067791
1115,Regency Centers,grocery,185 Franklin St,2110.0,42.3554,-71.054818
1116,Rite Foods,grocery,500 E St,2210.0,42.343093,-71.043142
1117,River Park Food Mart,grocery,1503 River St,2136.0,42.250454,-71.131059
1118,Rosis Market,grocery,226 Sumner St,2128.0,42.368599,-71.03902
1119,Rossi Market,grocery,430 Geneva Ave,2122.0,42.300594,-71.06637
1120,Roxbury Hal Market,grocery,1433 Tremont St,2120.0,42.331735,-71.096539
1121,Roxtar Foods LTD,grocery,1200 Washington St # 507,2118.0,42.34302,-71.066711
1122,Sandy's Variety Store,grocery,378 Washington St,2124.0,42.298188,-71.072829
1123,Savenor's Market,grocery,160 Charles St,2114.0,42.360554,-71.070912
1124,Sea Foods Logan B C Bar Legal,grocery,12 Harborside Dr,2128.0,42.377292,-71.032514
1125,Senado Market,grocery,2825 Washington St,2119.0,42.321289,-71.092735
1126,Shawmut Grocery Store,grocery,614 Shawmut Ave,2118.0,42.335454,-71.080469
1127,Simply Irresistible Foods,grocery,23 Floyd St # 1,2124.0,42.289476,-71.088728
1128,Smart Eat Foods Inc,grocery,899 Beacon St # 2,2215.0,42.346206,-71.105162
1129,Snack N' Play,grocery,600 Washington St,2111.0,42.352951,-71.062494
1130,Snacks Express,grocery,60 South St,2111.0,42.351724,-71.056757
1131,Song & H Foods Corp,grocery,154 Faywood Ave,2128.0,42.392006,-71.006433
1132,Soodies South Boston LLC,grocery,230 W Broadway,2127.0,42.339831,-71.051875
1133,South East Market,grocery,210 Harrison Ave,2111.0,42.347972,-71.062318
1134,Spasso Foods LLC,grocery,1430 Vfw Pkwy,2132.0,42.270911,-71.171805
1135,Star Market,grocery,90 River St,2126.0,42.270814,-71.074451
1136,Start Super Market,grocery,483 Cambridge St,2134.0,42.353774,-71.137118
1137,Sugar Apple,grocery,4 Browning Ave # 1,2124.0,42.294219,-71.080542
1138,Sunrise Market,grocery,152 Brighton Ave,2134.0,42.35273,-71.132304
1139,Super Eighty Eight,grocery,1095 Commonwealth Ave,2215.0,42.352259,-71.124298
1140,Super Eighty Eight Market,grocery,101 Allstate Rd,2125.0,42.325651,-71.062273
1141,Suriel Food Prod Distrbutors,grocery,31 Germania St # I,2130.0,42.314225,-71.102698
1142,Symphony Market,grocery,1130 Boylston St,2215.0,42.346884,-71.089021
1143,T & M Food Corp,grocery,26 Province St,2108.0,42.357451,-71.0595
1144,Tastefully Ethnic Foods,grocery,1820 Dorchester Ave,2124.0,42.288649,-71.063268
1145,Tedeschi Food Shops,grocery,357 Tremont St,2116.0,42.348308,-71.067559
1146,Telio Foods LLC,grocery,1159 Washington St,2124.0,42.272221,-71.068863
1147,Tessie's Soups,grocery,9 Newbern St,2130.0,42.309586,-71.110284
1148,Thao Ngoc Food Inc,grocery,1331 Dorchester Ave,2122.0,42.305202,-71.059174
1149,Tiny Foodies,grocery,35 Msgr Patrick J Lydon Way,2124.0,42.288401,-71.061649
1150,TJS Convenience,grocery,80 Welles Ave,2124.0,42.289279,-71.066803
1151,Todesca's Market,grocery,4441 Washington St # A,2131.0,42.280294,-71.13479
1152,Tropical Foods,grocery,450 Melnea Cass Blvd,2119.0,42.334938,-71.085458
1153,Truong Thanh Market,grocery,65 Beach St,2111.0,42.351115,-71.060109
1154,Urban Foodie's Market,grocery,333 Martin Luther King Blvd,2119.0,42.325438,-71.084615
1155,Us Specialty Food Agency,grocery,245 Sumner St,2128.0,42.367941,-71.038472
1156,Walking City Foods Inc,grocery,133 Clarendon St,2117.0,42.34903,-71.074001
1157,Woe Fats Dogs N Sausages,grocery,16 Mosgrove Ave,2131.0,42.292006,-71.123103
1158,Wollaston's West Village,grocery,460 Parker St,2115.0,42.338235,-71.092653
1159,X & Y Food Inc,grocery,1095 Commonwealth Ave,2215.0,42.352259,-71.124298
1160,Xing Fu Food Boston,grocery,101 Arch St # 160,2110.0,42.354954,-71.059085
1161,Y C Global Foods Inc,grocery,76 Brighton Ave,2134.0,42.352394,-71.128687
1162,Allston Farmers' Market,grocery,175 N Harvard St,2134.0,42.363374,-71.12959
1163,Blessing Of God African Market,grocery,1076 Hyde Park Ave,2136.0,42.262527,-71.121612
1164,Boost Juice Bar,grocery,225 Franklin St,2110.0,42.356184,-71.054072
1165,Boylston Fruit Market,grocery,34 Egleston St,2130.0,42.314,-71.100927
1166,City Fruit Co,grocery,231 Harrison Ave # A,2111.0,42.347472,-71.063016
1167,E T C Juicery,grocery,1 Lathrop Pl # 1,2113.0,42.36392,-71.053981
1168,Good Seasons Trading Inc,grocery,911 Massachusetts Ave,2118.0,42.330506,-71.070309
1169,Hua Shing Inc,grocery,123 Newmarket Sq,2118.0,42.33052,-71.066883
1170,Jevojuice Inc,grocery,230 Congress St,2110.0,42.354565,-71.054134
1171,Johnny's D's Fruit & Produce,grocery,381 Washington St,2135.0,42.349188,-71.154309
1172,Juice Republic Inc,grocery,200 Lincoln St # 404,2111.0,42.350241,-71.058495
1173,Kirin Produce Co,grocery,22 Oxford St # 24,2111.0,42.35179,-71.06031
1174,Mass Produce,grocery,32 White St,2128.0,42.380676,-71.03853
1175,Moxie's Juice Co,grocery,135 W 8th St,2127.0,42.334819,-71.053647
1176,Noni Juice Distributors,grocery,1065 Tremont St,2120.0,42.336335,-71.086403
1177,Plum Produce,grocery,552 Tremont St,2118.0,42.343758,-71.071455
1178,Preparations,grocery,220 Columbia Rd,2121.0,42.307519,-71.076364
1179,We Juice Inc,grocery,49 Beach St # 62,2111.0,42.351356,-71.060799
1180,Faneuil Hall Market Place,grocery,1 Faneuil Hall Sq # 1,2109.0,42.360041,-71.055744
1181,Fruitata Organic Juice & Smths,grocery,800 Boylston St,2199.0,42.348804,-71.081983
1182,Kirin Produce Co,grocery,131 Newmarket Sq,2118.0,42.33052,-71.066883
1183,Alba Produce,grocery,18 Parmenter St,2113.0,42.363816,-71.05508
1184,Au Lac Vegetarian,grocery,990 Dorchester Ave,2125.0,42.316803,-71.056519
1185,Baby Nat's Fruitland,grocery,606 American Legion Hwy,2131.0,42.285741,-71.109597
1186,Back Bay Market,grocery,145 Dartmouth St # 2,2116.0,42.347378,-71.074841
1187,Bee's Produce,grocery,960 Massachusetts Ave,2118.0,42.329946,-71.068802
1188,C&D Produce,grocery,260 Maverick St,2128.0,42.368066,-71.033773
1189,Chang Ching Produce,grocery,123 Newmarket Sq,2118.0,42.33052,-71.066883
1190,Ching Long Inc,grocery,26 Lincoln St,2135.0,42.358847,-71.14613
1191,City Produce,grocery,231 Harrison Ave # 1a,2111.0,42.347472,-71.063016
1192,Cropcircle Inc,grocery,15 Robinwood Ave,2130.0,42.316537,-71.112763
1193,Crystal Fruit,grocery,278 Centre St,2130.0,42.322818,-71.101473
1194,D Fantasy,grocery,3142 Washington St,2130.0,42.313973,-71.100017
1195,Do Bao Vegetable Co,grocery,227 Harrison Ave,2111.0,42.347682,-71.062945
1196,Family Produce Market Corp,grocery,51 Cottage St,2128.0,42.367108,-71.035677
1197,Fresh Ideas Inc,grocery,18 Bunker Hill Industrial Park,2129.0,42.3792,-71.071484
1198,Fruit Ninjah Mobile Market,grocery,9 Dunbar Ave,2124.0,42.286685,-71.071933
1199,Fruit Punch Records,grocery,PO Box 15493,2215.0,42.348292,-71.094974
1200,Fruits Of Blessings Ital Ctr,grocery,1290 Blue Hill Ave,2126.0,42.279598,-71.092685
1201,Global Village Fruits Inc,grocery,107 Avenue Louis Pasteur # 231,2115.0,42.337637,-71.104168
1202,Grasmick Produce Co,grocery,51 Franklin St,2110.0,42.355515,-71.058551
1203,J & C Tropical Produce Inc,grocery,284 Centre St # 2,2130.0,42.322769,-71.102044
1204,Lafauci & Sons Inc,grocery,46 Cross St # 50,2113.0,42.363275,-71.056477
1205,Local Roots,grocery,402 Hanover St,2113.0,42.36594,-71.052893
1206,Marshall's Fenway Farm Stand,grocery,1345 Boylston St,2215.0,42.344082,-71.09976
1207,National Produce Solutions Inc,grocery,280 Lincoln St,2134.0,42.357328,-71.134073
1208,Office Fruit,grocery,36 S Huntington Ave # 9,2130.0,42.331076,-71.111634
1209,One Twenty Five,grocery,960r Massachusetts Ave,2118.0,42.340851,-71.070838
1210,Ramirez Produce,grocery,252 Princeton St # 1,2128.0,42.379698,-71.030616
1211,Scire Fruit Inc,grocery,64 Salem St,2113.0,42.363392,-71.056117
1212,Sid Wainer & Son,grocery,15 May St,2130.0,42.309675,-71.122739
1213,Snap Top Market,grocery,303 Columbus Ave,2116.0,42.346653,-71.07437
1214,Thirst Juice Co,grocery,44 School St,2108.0,42.357735,-71.059748
1215,Xin Bao Vegetable Co,grocery,198 Tremont St # 407,2116.0,42.35214,-71.064567
1216,Lambert's Rainbow Fruit,grocery,777 William T Morrissey Blvd,2122.0,42.294926,-71.048527
1217,Ahold USA,grocery,2 International Pl,2110.0,42.356372,-71.054279
1218,Bacco Fine Foods Inc,grocery,31 Saint James Ave # 170,2116.0,42.350736,-71.071623
1219,Brothers Market,grocery,776 Dudley St,2125.0,42.317497,-71.06569
1220,Crabby Jacks Gen Store Two,grocery,1 Faneuil Hall Sq # 100,2109.0,42.360041,-71.055744
1221,Crt Food & Beverage,grocery,907 Boylston St,2115.0,42.348459,-71.084316
1222,Csn Stores LLC,grocery,4 Copley Pl # 700,2116.0,42.347223,-71.07924
1223,Cumberland Farms,grocery,464 Chelsea St,2128.0,42.377292,-71.032514
1224,Deluca's Back Bay Market,grocery,239 Newbury St,2116.0,42.349781,-71.081873
1225,Five Seventy Market,grocery,570 Tremont St,2118.0,42.343534,-71.072323
1226,Foodie's Urban Market,grocery,1421 Washington St,2118.0,42.341145,-71.070645
1227,G-Mart Supermarket,grocery,109 Lincoln St,2111.0,42.351628,-71.058504
1228,Knapp Foods Inc,grocery,415 Centre St,2130.0,42.320833,-71.11068
1229,Marlboro Market,grocery,45 Massachusetts Ave,2115.0,42.34992,-71.089096
1230,Mattapan Food & Fitns Cltn,grocery,1613 Blue Hill Ave # 307,2126.0,42.268994,-71.094208
1231,Prime Shoppe,grocery,104 Faneuil Hall Market Pl,2109.0,42.359135,-71.055237
1232,Ramis Food Products Inc,grocery,426 Belgrade Ave,2132.0,42.28593,-71.149625
1233,Rescor Of Quincy Market Inc,grocery,1 Faneuil Hall Market Pl,2109.0,42.359735,-71.053586
1234,Star Market,grocery,75 Spring St,2132.0,42.278714,-71.163296
1235,Stop & Shop Supermarket,grocery,1025 Truman Hwy,2136.0,42.242473,-71.127332
1236,Super 88,grocery,1 Bryson Ave,2134.0,42.348929,-71.13624
1237,Two Guys Foods Inc,grocery,434 Massachusetts Ave,2118.0,42.340745,-71.081798
1238,America's Food Basket,grocery,942 Hyde Park Ave,2136.0,42.267608,-71.119804
1239,American Food Management,grocery,161 Berkeley St,2116.0,42.349414,-71.071886
1240,C Mart Of Herald St,grocery,50 Herald St,2118.0,42.346203,-71.065154
1241,Deluca's Market,grocery,11 Charles St # 1,2114.0,42.356506,-71.06957
1242,Food Lion,grocery,280 Martin Luther King Blvd,2119.0,42.318764,-71.08331
1243,Hannaford Supermarket,grocery,39 Church St,2116.0,42.349383,-71.06802
1244,Harvest Club Market,grocery,3815 Washington St # 1,2130.0,42.297733,-71.116269
1245,Hi Lo Foods,grocery,415 Centre St,2130.0,42.320833,-71.11068
1246,Hong Kong Supermarket,grocery,1095 Commonwealth Ave # 300,2215.0,42.352259,-71.124298
1247,Maddison Food Roslindale,grocery,650 American Legion Hwy,2131.0,42.28409,-71.110853
1248,MARS Farmers Market,grocery,926 Cummins Hwy,2126.0,42.268094,-71.094892
1249,Price Rite,grocery,892 River St,2136.0,42.255377,-71.12423
1250,Roche Bros,grocery,1800 Centre St,2132.0,42.287378,-71.152712
1251,Save-A-Lot Food Stores,grocery,650 American Legion Hwy,2131.0,42.28409,-71.110853
1252,Save-A-Lot Food Stores,grocery,330 Martin L King Bl # 41,2119.0,42.325438,-71.084615
1253,Shaw's Supermarket,grocery,33 Kilmarnock St,2215.0,42.344209,-71.100188
1254,Shaw's Supermarket,grocery,246 Border St,2128.0,42.376514,-71.040083
1255,Shaw's Supermarket,grocery,1377 Hyde Park Ave # 4,2136.0,42.251947,-71.12606
1256,Star Market,grocery,1065 Commonwealth Ave # 2,2215.0,42.352681,-71.12333
1257,Star Market,grocery,33 Kilmarnock St,2215.0,42.344209,-71.100188
1258,Star Market,grocery,53 Huntington Ave,2199.0,42.347813,-71.079467
1259,Star Market,grocery,370 Western Ave # 1,2135.0,42.362807,-71.138051
1260,Star Market,grocery,45 William T Morrissey Bl # 1,2125.0,42.318521,-71.050738
1261,Star Market,grocery,1377 Hyde Park Ave # 2,2136.0,42.251827,-71.125415
1262,Star Market,grocery,4 River St,2126.0,42.271929,-71.069702
1263,Stop & Shop Supermarket,grocery,181 Cambridge St,2114.0,42.361264,-71.065892
1264,Stop & Shop Supermarket,grocery,713 E Broadway,2127.0,42.335278,-71.036651
1265,Stop & Shop Supermarket,grocery,200 Guest St,2135.0,42.347801,-71.151951
1266,Stop & Shop Supermarket,grocery,545 Freeport St,2122.0,42.291991,-71.048146
1267,Stop & Shop Supermarket,grocery,301 Centre St,2130.0,42.322962,-71.103007
1268,Stop & Shop Supermarket,grocery,950 American Legion Hwy # 1,2131.0,42.27611,-71.11569
1269,Stop & Shop Supermarket,grocery,1620 Tremont St,2120.0,42.33357,-71.104127
1270,Super 88 Market,grocery,101 Allstate Rd # 101,2125.0,42.325651,-71.062273
1271,Super Stop & Shop,grocery,60 Everett St # 2,2134.0,42.356005,-71.138519
1272,Super Stop & Shop,grocery,1100 Massachusetts Ave,2125.0,42.326302,-71.065271
1273,Super Stop & Shop,grocery,460 Blue Hill Ave,2121.0,42.309124,-71.082688
1274,Super Stop & Shop,grocery,545 Freeport St,2122.0,42.291991,-71.048146
1275,Super Stop & Shop,grocery,1230 Vfw Pkwy,2132.0,42.278344,-71.171507
1276,Trader Joe's,grocery,711 Atlantic Ave # 3,2111.0,42.351165,-71.05667
1277,Trader Joe's,grocery,899 Boylston St,2115.0,42.348434,-71.08395
1278,Village Market,grocery,30 Corinth St,2131.0,42.286186,-71.129509
1279,Whole Foods Market,grocery,15 Westland Ave,2115.0,42.3439,-71.087246
1280,Whole Foods Market,grocery,161 Cambridge St,2114.0,42.362107,-71.066009
1281,Whole Foods Market,grocery,181 Cambridge St,2114.0,42.361264,-71.065892
1282,Whole Foods Market,grocery,310 Harrison Ave # 348,2118.0,42.34568,-71.063308
1283,Whole Foods Market,grocery,348 Harrison Ave,2118.0,42.34486,-71.063631
1284,Whole Foods Market,grocery,15 Washington St,2135.0,42.342797,-71.140375
1285,Whole Foods Market,grocery,51 Austin St,2129.0,42.374486,-71.067272
1286,Whole Foods Market,grocery,413 Centre St,2130.0,42.321454,-71.110813
1287,Wollaston's Market,grocery,369 Huntington Ave,2115.0,42.340359,-71.090304
1288,America's Food Basket,grocery,217 Bowdoin St,2122.0,42.305587,-71.067734
1289,Kriola,grocery,10 Hancock St,2125.0,42.315429,-71.06603
1290,New Mission Hill Market Inc,grocery,680 Parker St,2120.0,42.332254,-71.096708
1291,7-Eleven,grocery,1 1st Ave,2129.0,42.372909,-71.057819
1292,Blue Hill Convenience,grocery,1378 Blue Hill Ave,2126.0,42.271726,-71.092178
1293,H-H Convenience,grocery,Downtown Crossing Mbta Station,2108.0,42.357979,-71.062564
1294,Your Convenient,grocery,62-74 Essex Street,2111.0,42.35179,-71.061176
1295,Mattapan,grocery,525 River St.,2126.0,42.26721,-71.09473
1296,Mission Hill,grocery,Huntington Ave. & Francis Street,2120.0,42.33415,-71.10478
1297,Charlestown,grocery,Main St & Austin St,2129.0,42.37559,-71.06446
1298,Boston/Copley Square,grocery,206 Clarendon St,2116.0,42.35014,-71.07497
1299,Roxbury/Dudley Town Common,grocery,Blue Hill Ave & Dudley St,2119.0,42.32529,-71.07497
1300,Jamaica Plain,grocery,677 Centre St.,2130.0,42.31274,-71.11371
1301,Roslindale,grocery,Washington Street,2131.0,42.28667,-71.12843
1302,Boston Public Market/Greenway,grocery,136 Blackstone Street,2108.0,42.35919,-71.05933
1303,South Boston,grocery,446 West Broadway,2127.0,42.33642,-71.04678
1304,Roxbury/Roxbury Crossing,grocery,1420 Tremont St.,2120.0,42.33181,-71.09543
1305,Egleston,grocery,30 Germania Street,2130.0,42.31472,-71.10307
1306,West Roxbury,grocery,1857 Centre Street,2132.0,42.28665,-71.15469
1307,Allston Village,grocery,500 Cambridge Street,2134.0,42.35233,-71.13765
1308,Dorchester/Dorchester House,grocery,1353 Dorchester Ave,2122.0,42.30453,-71.05912
1309,Dorchester/Codman Square,grocery,Washington St. & Talbott Ave.,2124.0,42.28945,-71.07136
1310,Allston,grocery,168 Western Avenue,2134.0,42.36325,-71.12855
1311,Boston/South Station/Dewey Square,grocery,Summer St & Atlantic Ave,2110.0,42.35321,-71.05512
1312,Boston/Boston University,grocery,775 Commonwealth Ave.,2215.0,42.3509,-71.10814
1313,Roslindale Winter,grocery,30 Birch Street,2131.0,42.28649,-71.1305
1314,Dorchester Winter,grocery, 6 Norfolk St,2124.0,42.29034,-71.07189
1315,Egleston Winter,grocery,29 Germania Street,2130.0,42.31434,-71.10262
1316,Jamaica Plain/Loring-Greenough,grocery,12 South St.,2111.0,42.31013,-71.11465
1317,Dorchester/Bowdoin Geneva,grocery,230 Bowdoin St,2122.0,42.30577,-71.06759
1318,Dorchester/Ashmont Peabody Square,grocery,1900 Dorchester Ave.,2124.0,42.28587,-71.06404
1319,Dorchester/Carney Hospital,grocery,2100 Dorchester Ave.,2124.0,42.27898,-71.06634
