"Project Name: AEP1802E UT1 C Utility Simple Fix Project Code: AEP1802E UT1 C",,,,,,,,,,
Construction Trade,Hours Worked,,,,,,,,,
"Craft Level","Total Employee",Caucasian,"African American",Hispanic,Asian,"Native American",Other,"Not Specified","Total Female","Total Male"
Batallas Electric Inc.,,,,,,,,,,,
ELECTRICIAN,Journey,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Subtotal,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,
"Journey Apprentice Total for Contractor A/J Ratio New Hire Subtotal",1.00,"1.00 0.000.000.000.000.00","0.000.00 1.00",,,,,,,,
"",,,,,,,,0.00,1.00,,
Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Subtotal,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,
Total  Journey Hours,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,
Total Apprentice Hours,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total New Hire Hours,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Grand  Total Hours,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,
"Journey Apprentice Total for Contractor A/J Ratio New Hire Subtotal"
Apprentice
A/J Ratio
New Hire
Subtotal
"Journey Apprentice Total for Contractor A/J Ratio New Hire Subtotal"
Apprentice
A/J Ratio
New Hire
Subtotal
"Project Name: CHE1604 DC1 CM Construction Management Services Chelsea Soldiers' Home Comunity Living Center Project Code: CHE1604 DC1 CM",,,,,,,,,,,,
Construction Trade,Hours Worked,,,,,,,,,,,
"","Craft Level","Total Employee",Caucasian,"African American",Hispanic,Asian,"Native American",Other,"Not Specified","Total Female","Total Male",
"Jupiter Electric, Inc.",,,,,,,,,,,
ELECTRICIAN,Journey,64.00,64.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64.00
"",Apprentice,37.00,8.00,0.00,0.00,29.00,0.00,0.00,0.00,0.00,37.00
"",A/J Ratio,0.58,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.58
"",New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",Subtotal,101.00,72.00,0.00,0.00,29.00,0.00,0.00,0.00,0.00,101.00
Total for Contractor,Journey,64.00,64.00,0.00,0.00,0.00,0.00,0.00,0.00,,
"",,,,,,,,,,0.00,64.00
"",Apprentice,37.00,8.00,0.00,0.00,29.00,0.00,0.00,0.00,0.00,37.00
"",A/J Ratio,0.58,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.58
"",New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",Subtotal,101.00,72.00,0.00,0.00,29.00,0.00,0.00,0.00,0.00,101.00
"Manafort-Precision, LLC",,,,,,,,,,,
CARPENTER,Journey,24.00,24.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.00
Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Subtotal,24.00,24.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.00,
"JourneyApprenticeTotal for ContractorA/J RatioNew HireSubtotal"
Apprentice
A/J Ratio
New Hire
Subtotal
"Project Name:DCR1110 DC1 CM North Point New Maintenance FacilityProject Code:DCR1110 DC1 CM",,,,,,,,,,
Construction Trade,Hours Worked,,,,,,,,,
"CraftLevel","TotalEmployee",Caucasian,"AfricanAmerican",Hispanic,Asian,"NativeAmerican",Other,"NotSpecified","TotalFemale","TotalMale"
Total for Contractor,Journey,24.00,24.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.00
"",Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",Subtotal,24.00,24.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.00
Taibbi Equipment Corp.,,,,,,,,,,,
BACKHOE/FRONT-END LOADER,Journey,160.00,160.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,160.00
"",Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",Subtotal,160.00,160.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,160.00
DRIVER,Journey,14.00,14.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.00
"",Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",Subtotal,14.00,14.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.00
Total for Contractor,Journey,174.00,174.00,0.00,0.00,0.00,0.00,0.00,0.00,,
"",,,,,,,,,,0.00,174.00
"",Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",Subtotal,174.00,174.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,174.00
"United Civil, Inc.",,,,,,,,,,,
BACKHOE/FRONT-END LOADER,Journey,160.00,160.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,160.00
Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Subtotal,160.00,160.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,160.00,
"Project Name:DCR1110 DC1 CM North Point New Maintenance FacilityProject Code:DCR1110 DC1 CM",,,,,,,,,,
Construction Trade,Hours Worked,,,,,,,,,
"CraftLevel","TotalEmployee",Caucasian,"AfricanAmerican",Hispanic,Asian,"NativeAmerican",Other,"NotSpecified","TotalFemale","TotalMale"
LABORER,Journey,628.00,628.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,628.00
Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Subtotal,628.00,628.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,628.00,
"JourneyApprenticeTotal for ContractorA/J RatioNew HireSubtotal",788.00,"788.000.000.000.000.000.00","0.000.00788.00",,,,,,,,
"",,,,,,,,,0.00,788.00,
Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Subtotal,788.00,788.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,788.00,
Total  Journey Hours,"1,318.00","1,318.00",0.00,0.00,0.00,0.00,0.00,0.00,0.00,"1,318.00",
Total Apprentice Hours,61.00,8.00,0.00,0.00,53.00,0.00,0.00,0.00,0.00,61.00,
Total New Hire Hours,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Grand  Total Hours,"1,379.00","1,326.00",0.00,0.00,53.00,0.00,0.00,0.00,0.00,"1,379.00",
"JourneyApprenticeTotal for ContractorA/J RatioNew HireSubtotal"
Apprentice
A/J Ratio
New Hire
Subtotal
"Project Name:DMH1301 DC1 C Solomon Carter Fuller Center Envelope Repair/Window ReplacementProject Code:DMH1301 DC1 C",,,,,,,,,,
Construction Trade,Hours Worked,,,,,,,,,
"CraftLevel","TotalEmployee",Caucasian,"AfricanAmerican",Hispanic,Asian,"NativeAmerican",Other,"NotSpecified","TotalFemale","TotalMale"
"Annese Electrical Services, Inc.",,,,,,,,,,,
ELECTRICIAN,Journey,18.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.00
"",Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",Subtotal,18.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.00
"JourneyApprenticeTotal for ContractorA/J RatioNew HireSubtotal",18.00,"18.000.000.000.000.000.00","0.000.0018.00",,,,,,,,
"",,,,,,,,,,0.00,18.00
"",Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",Subtotal,18.00,18.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.00
Calhess Restoration & Waterproofing Corp.,,,,,,,,,,,
BRICK/STONE/ARTIFICIAL MASONRY,Journey,261.50,261.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,261.50
"",Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",Subtotal,261.50,261.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,261.50
Total for Contractor,Journey,261.50,261.50,0.00,0.00,0.00,0.00,0.00,0.00,,
"",,,,,,,,,0.00,261.50,
Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Subtotal,261.50,261.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,261.50,
Total  Journey Hours,279.50,279.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,279.50,
Total Apprentice Hours,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total New Hire Hours,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Grand  Total Hours,279.50,279.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,279.50,
"JourneyApprenticeTotal for ContractorA/J RatioNew HireSubtotal"
Apprentice
A/J Ratio
New Hire
Subtotal
"Project Name:DOC1507 DC1 C New Food Servicing Building - MCI ShirleyProject Code:DOC1507 DC1 C",,,,,,,,,,
Construction Trade,Hours Worked,,,,,,,,,
"CraftLevel","TotalEmployee",Caucasian,"AfricanAmerican",Hispanic,Asian,"NativeAmerican",Other,"NotSpecified","TotalFemale","TotalMale"
ACV Concrete LLC,,,,,,,,,,,
LABORER,Journey,72.00,0.00,0.00,72.00,0.00,0.00,0.00,0.00,0.00,72.00
"",Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",Subtotal,72.00,0.00,0.00,72.00,0.00,0.00,0.00,0.00,0.00,72.00
LABORER: CARPENTER TENDER,Journey,48.00,0.00,0.00,48.00,0.00,0.00,0.00,0.00,0.00,48.00
"",Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",Subtotal,48.00,0.00,0.00,48.00,0.00,0.00,0.00,0.00,0.00,48.00
Total for Contractor,Journey,120.00,0.00,0.00,120.00,0.00,0.00,0.00,0.00,,
"",,,,,,,,,,0.00,120.00
"",Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",Subtotal,120.00,0.00,0.00,120.00,0.00,0.00,0.00,0.00,0.00,120.00
"Annese Electrical Services, Inc.",,,,,,,,,,,
ELECTRICIAN,Journey,112.00,112.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,112.00
Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Subtotal,112.00,112.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,112.00,
"JourneyApprenticeTotal for ContractorA/J RatioNew HireSubtotal",112.00,"112.000.000.000.000.000.00","0.000.00112.00",,,,,,,,
"",,,,,,,,,0.00,112.00,
Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Subtotal,112.00,112.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,112.00,
Araujo Bro Plumbing Inc,,,,,,,,,,,
"JourneyApprenticeTotal for ContractorA/J RatioNew HireSubtotal"
Apprentice
A/J Ratio
New Hire
Subtotal
"Project Name:DOC1507 DC1 C New Food Servicing Building - MCI ShirleyProject Code:DOC1507 DC1 C",,,,,,,,,,
Construction Trade,Hours Worked,,,,,,,,,
"CraftLevel","TotalEmployee",Caucasian,"AfricanAmerican",Hispanic,Asian,"NativeAmerican",Other,"NotSpecified","TotalFemale","TotalMale"
PLUMBERS & GASFITTERS,Journey,157.00,157.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,157.00
"",Apprentice,157.00,157.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,157.00
"",A/J Ratio,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
"",New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",Subtotal,314.00,314.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,314.00
"JourneyApprenticeTotal for ContractorA/J RatioNew HireSubtotal",157.00,"157.000.000.000.000.000.00","0.000.00157.00",,,,,,,,
"",,,,,,,,,,0.00,157.00
"",Apprentice,157.00,157.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,157.00
"",A/J Ratio,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
"",New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",Subtotal,314.00,314.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,314.00
Atlantic Contracting & Specialties,,,,,,,,,,,
INSULATOR (PIPES & TANKS),Journey,4.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00
"",Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",Subtotal,4.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00
Total for Contractor,Journey,4.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,,
"",,,,,,,,,,0.00,4.00
"",Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",Subtotal,4.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00
Central Mass Crane Service Inc.,,,,,,,,,,,
OPERATING ENGINEERS,Journey,11.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00
Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Subtotal,11.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,
"JourneyApprenticeTotal for ContractorA/J RatioNew HireSubtotal"
Apprentice
A/J Ratio
New Hire
Subtotal
"Project Name:DOC1507 DC1 C New Food Servicing Building - MCI ShirleyProject Code:DOC1507 DC1 C",,,,,,,,,,
Construction Trade,Hours Worked,,,,,,,,,
"CraftLevel","TotalEmployee",Caucasian,"AfricanAmerican",Hispanic,Asian,"NativeAmerican",Other,"NotSpecified","TotalFemale","TotalMale"
Total for Contractor,Journey,11.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00
"",Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",Subtotal,11.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00
"Feeley, McAnespie",,,,,,,,,,,
ROOFER,Journey,181.00,181.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,181.00
"",Apprentice,28.00,28.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.00
"",A/J Ratio,0.15,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.15
"",New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",Subtotal,209.00,209.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,209.00
SHEETMETAL WORKER,Journey,13.00,6.50,6.50,0.00,0.00,0.00,0.00,0.00,0.00,13.00
"",Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",Subtotal,13.00,6.50,6.50,0.00,0.00,0.00,0.00,0.00,0.00,13.00
Total for Contractor,Journey,194.00,187.50,6.50,0.00,0.00,0.00,0.00,0.00,,
"",,,,,,,,,,0.00,194.00
"",Apprentice,28.00,28.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,28.00
"",A/J Ratio,0.14,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14
"",New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",Subtotal,222.00,215.50,6.50,0.00,0.00,0.00,0.00,0.00,0.00,222.00
"Greenfield Glass Co., Inc.",,,,,,,,,,,
GLAZIER,Journey,20.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00
Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Subtotal,20.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,
"Project Name:DOC1507 DC1 C New Food Servicing Building - MCI ShirleyProject Code:DOC1507 DC1 C",,,,,,,,,,
Construction Trade,Hours Worked,,,,,,,,,
"CraftLevel","TotalEmployee",Caucasian,"AfricanAmerican",Hispanic,Asian,"NativeAmerican",Other,"NotSpecified","TotalFemale","TotalMale"
"GLAZIER (GLASS PLANK/AIRBARRIER/INTERIOR SYSTEMS)",Journey,10.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00
"",Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",Subtotal,10.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00
"JourneyApprenticeTotal for ContractorA/J RatioNew HireSubtotal",30.00,"30.000.000.000.000.000.00","0.000.0030.00",,,,,,,,
"",,,,,,,,,,0.00,30.00
"",Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",Subtotal,30.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00
Nashoba Paving,,,,,,,,,,,
BACKHOE/FRONT-END LOADER,Journey,166.00,166.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,166.00
"",Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",Subtotal,166.00,166.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,166.00
DRIVER,Journey,6.75,6.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.75
"",Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",Subtotal,6.75,6.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.75
LABORER,Journey,140.25,140.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,140.25
Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Subtotal,140.25,140.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,140.25,
"JourneyApprenticeTotal for ContractorA/J RatioNew HireSubtotal"
Apprentice
A/J Ratio
New Hire
Subtotal
"Project Name:DOC1507 DC1 C New Food Servicing Building - MCI ShirleyProject Code:DOC1507 DC1 C",,,,,,,,,,
Construction Trade,Hours Worked,,,,,,,,,
"CraftLevel","TotalEmployee",Caucasian,"AfricanAmerican",Hispanic,Asian,"NativeAmerican",Other,"NotSpecified","TotalFemale","TotalMale"
Total for Contractor,Journey,313.00,313.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,313.00
"",Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",Subtotal,313.00,313.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,313.00
"William F. Lynch Co., Inc.",,,,,,,,,,,
SHEETMETAL WORKER,Journey,58.00,58.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.00
Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Subtotal,58.00,58.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.00,
"JourneyApprenticeTotal for ContractorA/J RatioNew HireSubtotal",58.00,"58.000.000.000.000.000.00","0.000.0058.00",,,,,,,,
"",,,,,,,,0.00,58.00,,
Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Subtotal,58.00,58.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.00,
Total  Journey Hours,999.00,872.50,6.50,120.00,0.00,0.00,0.00,0.00,0.00,999.00,
Total Apprentice Hours,185.00,185.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,185.00,
Total New Hire Hours,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Grand  Total Hours,"1,184.00","1,057.50",6.50,120.00,0.00,0.00,0.00,0.00,0.00,"1,184.00",
"JourneyApprenticeTotal for ContractorA/J RatioNew HireSubtotal"
Apprentice
A/J Ratio
New Hire
Subtotal
"Project Name:DYS1404E ES1 C Western Youth Center Comprehensive Design Build Energy ProjectProject Code:DYS1404E ES1",,,,,,,,,,
Construction Trade,Hours Worked,,,,,,,,,
"CraftLevel","TotalEmployee",Caucasian,"AfricanAmerican",Hispanic,Asian,"NativeAmerican",Other,"NotSpecified","TotalFemale","TotalMale"
Batallas Electric Inc.,,,,,,,,,,,
ELECTRICIAN,Journey,68.50,68.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,68.50
"",Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",Subtotal,68.50,68.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,68.50
LABORER,Journey,68.50,68.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,68.50
"",Apprentice,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",A/J Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",New Hire,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"",Subtotal,68.50,68.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,68.50
